,Sample_0,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73,Sample_74,Sample_75
Component_0,0.6059405099246206,2.220446049250313e-16,0.28725073131142875,8.169589134892906e-12,2.220446049250313e-16,0.051703788175311495,2.056342497208213e-11,2.056342497208213e-11,0.10503605543969649,0.39083037569034873,2.056342497208213e-11,2.220446049250313e-16,0.0016520223263010024,0.06284947033008587,2.220446049250313e-16,2.056342497208213e-11,2.056342497208213e-11,2.056342497208213e-11,0.03009955811584903,0.05040470911435498,2.056342497208213e-11,0.338047461569713,0.3693115002309121,0.6626215983129495,2.056342497208213e-11,2.056342497208213e-11,0.10311137310361068,2.220446049250313e-16,0.6756027069058239,2.220446049250313e-16,0.23109173163963564,0.9198561356922271,2.220446049250313e-16,0.29030211002994993,0.09289107800368698,2.056342497208213e-11,0.7897250583995843,0.6406720311194688,2.220446049250313e-16,2.220446049250313e-16,0.43580893086790107,2.056342497208213e-11,2.220446049250313e-16,0.2987100389893784,6.890677624812487e-10,0.0002639498282271593,2.056342497208213e-11,2.220446049250313e-16,0.14624015429559184,2.3269907296368473e-06,0.03641275044451457,0.24080583079687232,2.056342497208213e-11,0.3135311357561883,0.7328886693895696,2.220446049250313e-16,2.056342497208213e-11,1.658140203716058e-14,0.0010427886919608922,2.056342497208213e-11,0.0719422984960323,0.23109173163963564,0.44686653607137583,2.056342497208213e-11,0.00011208318262415825,0.08543599230373834,2.220446049250313e-16,2.056342497208213e-11,2.056342497208213e-11,0.02280751585940309,0.025971227455332965,2.056342497208213e-11,0.00012354153068261316,0.05467060183770226,2.056342497208213e-11,0.07102064291366599
Component_1,0.7268936241570126,0.0003293296047270111,0.3681044923860789,0.13676300765738514,2.220446049250313e-16,0.2384994134931508,3.673084218428771e-11,3.673084218428771e-11,0.10893873724889394,0.3418290262805709,3.673084218428771e-11,0.21422144924923428,0.20825564618480621,0.10082757517471555,2.220446049250313e-16,3.673084218428771e-11,3.673084218428771e-11,3.673084218428771e-11,0.31293427673659585,0.2145024211633578,3.673084218428771e-11,2.220446049250313e-16,0.544946457727146,0.2601623121464876,3.673084218428771e-11,3.673084218428771e-11,0.33562306545696646,0.06202279997319194,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.17369526976167346,2.220446049250313e-16,0.4267017337371412,0.0670330734958077,3.673084218428771e-11,0.43544970099398655,0.22710211158195306,2.220446049250313e-16,0.24862458480242675,0.3544035622576238,3.673084218428771e-11,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,3.673084218428771e-11,2.220446049250313e-16,0.5139887456479408,2.220446049250313e-16,0.7801633918406409,1.4010547475109776e-11,3.673084218428771e-11,2.220446049250313e-16,0.6488948587928952,2.220446049250313e-16,3.673084218428771e-11,2.220446049250313e-16,0.013643455997589631,3.673084218428771e-11,0.2936719204409128,2.220446049250313e-16,0.4881502972024084,3.673084218428771e-11,0.6333809789360301,0.11423811107669068,2.220446049250313e-16,3.673084218428771e-11,3.673084218428771e-11,0.690306666545413,2.220446049250313e-16,3.673084218428771e-11,0.7694098452694929,0.34944059365676705,3.673084218428771e-11,0.5452460103223807
Component_2,0.14785171861502702,0.06584094721345728,0.1914898201078875,0.07825209887533266,0.2038742239510068,0.2887910709772866,1.2870226480903817e-12,1.287022648090384e-12,0.323269010017484,0.12896679025813731,1.2870226480903817e-12,0.4593812678301331,0.45614053175213803,0.3081021140879429,0.1369555925825991,1.2870226480903817e-12,1.2870226480903817e-12,1.2870226480903817e-12,0.21152708343273707,2.220446049250313e-16,1.2870226480903817e-12,0.1712054410556573,0.11017497420472135,2.7969040421875036e-16,1.2870226480903817e-12,1.2870226480903817e-12,0.3180874768999047,2.220446049250313e-16,4.0470700912546086e-05,2.220446049250313e-16,3.6996439372574154e-05,2.220446049250313e-16,0.11133702939546715,0.23514848439162195,0.2392032216603093,1.2870226480903817e-12,3.2071070460014377e-16,2.220446049250313e-16,0.06847779629129945,0.1789210473523234,0.13549978279169111,1.2870226480903817e-12,0.08873947716704961,2.220446049250313e-16,0.20369233487281643,0.13764286912382964,1.2870226480903817e-12,0.1369555925825991,0.42558309532840716,0.03692959158355091,0.34504159049181776,2.220446049250313e-16,1.2870226480903817e-12,0.2359876390833934,3.116305398831807e-12,2.220446049250313e-16,1.2870226480903817e-12,0.31122923196675284,0.020625026833408354,1.2870226480903817e-12,0.3688601655019342,3.6996439372574154e-05,0.26174364795793287,1.2870226480903817e-12,0.5450358256272724,0.2830222484255041,2.220446049250313e-16,1.2870226480903817e-12,1.2870226480903817e-12,0.4324214617622407,0.07345640514494764,1.2870226480903817e-12,2.226193254989473e-16,0.1880968416785155,1.2870226480903817e-12,2.6351869389134105e-09
Component_3,0.19144802083522558,0.021727136477500186,1.7074323845459524e-11,0.16840621037844392,0.16552962974271712,0.045010702540597865,7.646012605144583e-13,7.646012605144589e-13,0.10193217679099896,0.21696636271677391,7.646012605144583e-13,0.0273605799130963,0.5125407422078906,0.1490610960166481,2.220446049250313e-16,7.646012605144583e-13,7.646012605144583e-13,7.646012605144583e-13,0.2893488630049918,0.040404048872848056,7.646012605144583e-13,2.220446049250313e-16,0.1253686220394745,2.220446049250313e-16,7.646012605144583e-13,7.646012605144583e-13,2.220446049250313e-16,0.32662886767502675,0.2750114046491185,0.3322898133300567,0.0889629628412343,0.3807893075162623,0.002975433381222992,0.1368004413640246,0.07319403443053873,7.646012605144583e-13,0.2722621836497446,1.266232554233792e-06,2.220446049250313e-16,0.03719201208073443,0.16499684407942064,7.646012605144583e-13,0.1947958684157841,0.27207952837743693,0.16456742703327343,0.14264091920566918,7.646012605144583e-13,2.220446049250313e-16,0.22503040548976647,0.21003022546821004,5.581146295102613e-16,0.10556848222345887,7.646012605144583e-13,2.220446049250313e-16,2.220446049250313e-16,0.13043197636865927,7.646012605144583e-13,0.19979969331902506,2.220446049250313e-16,7.646012605144583e-13,0.1924602022466929,0.0889629628412343,2.220446049250313e-16,7.646012605144583e-13,0.31263303220673694,0.3257132548191159,0.13043197636865927,7.646012605144583e-13,7.646012605144583e-13,1.1054590558619981e-09,0.1892714638850223,7.646012605144583e-13,0.3727402922145721,0.2831703983853775,7.646012605144583e-13,0.10580693263336334
