,Perceptual_0,Perceptual_1,Perceptual_2,Perceptual_3
Acoustic_0,0.00042994501504495025,0.006304891583737394,0.004322996188084487,0.00478649812747491
Acoustic_1,0.005184808799358685,0.00029105804067421,0.005136616669532004,0.005960689674872145
Acoustic_2,0.005314009188221967,0.0072136217305680825,0.0012282578085194996,0.004444642832848278
Acoustic_3,0.004811914121327543,0.010079261606301286,0.005529715932044248,0.0015265696226416867
