,Sample_0,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73,Sample_74,Sample_75
Component_0,2.220446049250313e-16,0.14409314722454158,0.5140586661665384,0.2806953056423149,0.4295410403294351,0.04219003660415785,0.4424215690285528,0.185275089529292,0.2633625565577916,0.10587960677151233,0.5080366261097287,2.220446049250313e-16,0.34969105704185344,0.26300256133144284,0.02719155997385811,0.12588453010693296,0.5754720192084011,0.48458839376054214,0.10229490066599473,0.24021319719748374,0.5791044587201707,0.13936446365796606,0.2655275815964946,2.2604370269262583e-16,0.34276585082568545,0.6143301902344335,0.1574330661502306,0.44699907616318507,2.220446049250313e-16,0.25931720097878574,0.4724632874705527,0.09057128222208474,0.4109198670906253,1.2032712722080397e-05,0.38512501179734815,0.360250331574789,0.2447279452470517,0.2854765895282025,0.5075446771452348,0.3313861195160592,0.0190771514229459,0.38233948990083866,0.4067045646646297,0.3896643937503353,0.36148059608221794,0.4681764782418349,0.5089893912210353,0.2984961104099168,0.04581509780237815,0.41213664001786465,0.16668624467146323,0.37387965009561,0.46685901950440095,0.14276727519998728,0.38231765273182644,0.25550229161173743,0.5199276319256695,0.11597099436749514,0.21779071644613884,0.506579421036491,0.31604960307232677,0.30853205512412696,0.11231474585520196,0.2327919295167781,2.220446049250313e-16,0.1667540507447913,0.4329847915680488,0.7027561267305117,0.351736343177422,0.00024656006445539707,0.4199553438810325,0.3478309596244669,2.220446049250313e-16,0.5216153344198571,0.33726961287406,0.11064496623159904
Component_1,0.13518386035083318,0.32721481310462436,0.14483913303791038,2.220446049250313e-16,2.220446049250313e-16,0.4503221145770456,0.06801838142790874,1.1829572324609138e-06,0.2465141823392923,0.1764955691336842,0.19673027101644483,0.4239183649745227,0.037191102518228436,0.12255291503524594,0.1792346145564713,0.26528364855254755,2.220446049250313e-16,0.33603797591088047,2.220446049250313e-16,0.256598347275174,1.6660318679085952e-13,0.28869294754803587,0.033869164755990486,0.38241880970048514,0.3104723782771766,0.1301035446267939,0.6054210732606818,0.19852968834160944,0.46181656833514806,4.652713619033087e-16,0.1924421933318302,0.7519800097187839,0.3190485067242055,0.5413135098000369,0.3117443419931405,0.11340536165783371,0.5070351700918413,0.49987084898730505,0.27076532669294173,0.1650523403354715,0.8268009060806542,0.0013598101849476272,0.32814108287146937,0.2693069218202955,0.33608244536823856,0.34083782522970907,0.16307163558959362,0.29327275692824745,0.5778612319384365,0.11821905024379019,0.3923816635107735,0.21387042350048488,0.15765227711931237,0.5315025019080183,0.2046688821935429,0.11423479692577405,0.3041596439357256,0.21359963259145795,0.19110327266986404,0.04108834030480282,0.21549478211187875,0.4001936408222038,0.509000468428985,0.3072563785886174,0.38477481151814796,0.38195448781223934,0.10654530766391512,2.220446049250313e-16,0.00022886065399217763,0.5072985755075824,0.21705970264696745,2.220446049250313e-16,0.23703728910029195,2.220446049250313e-16,8.400332620031899e-16,0.17952223547191576
Component_2,0.7914978793318229,2.220446049250313e-16,0.30478268172921097,0.5040253437363631,0.5249115233542762,0.12724000552874276,0.03965636155991818,0.15331719942550573,0.0521401177117331,0.4320414512849669,0.048916590900065816,0.36927997508005084,0.7292851348320818,0.2802037279901582,0.2086025871835156,0.11062387119499467,0.3239698549019535,0.26545436802164873,0.5931698405826028,0.08225138800557182,0.39644934555324507,0.16625592651281523,0.550597898817877,0.6475111858004048,0.08628008336019238,0.03316525234758897,0.11093894105313536,0.06965527687038232,0.6347616077928262,0.24359837562911105,2.0537057395693363e-08,0.13332664470313357,0.07256685816129195,0.1961242161026379,0.018596593256784883,0.019782605439657576,0.15495785744726556,0.05964109097696394,0.04570724471164947,0.32429907374456346,0.0953192390317252,0.38947069134591045,0.0332104066676438,0.16865970915577463,0.15434523522934604,2.220446049250313e-16,0.3243063211149065,0.07302235360437483,0.14145032930079113,0.19395599791245627,0.050144833347174296,0.18159564944189313,0.13340279842180142,0.15449164081159764,0.4664318971990298,0.39979914436865227,2.220446049250313e-16,0.46749485234284427,0.08671014326883822,0.191909993417186,0.46979792661708925,0.05582792516970277,0.16055490216363802,2.220446049250313e-16,0.6456491429462552,0.22233778010829924,2.220446049250313e-16,5.9222455713995e-09,0.42794529359251615,0.15777358423446833,0.05160267501926208,0.004853969313088217,0.34846103186862676,0.5099154177489248,0.22765340793517602,0.1371364401797035
Component_3,0.16120599848249056,0.7094854248055652,2.220446049250313e-16,0.5176077154902375,0.2900122886856026,0.36901892395015684,0.5223270696157389,0.6894800675343618,0.5146798672337131,0.1586878559803033,0.1815004908801346,0.22410699202594223,2.220446049250313e-16,0.34767181842058403,0.6455260746768323,0.638082341841732,0.19277387622643224,2.220446049250313e-16,0.44027809136485135,0.42503126986095235,0.1452181402819766,0.4908331853642686,0.1653028073024726,0.042916583946218126,0.23970892593681392,0.1732278431203577,0.054182920807946136,0.34033846908512067,2.220446049250313e-16,0.5258435463867573,0.21838766796010808,0.016047769907518217,0.3502193678166269,0.30903440211903604,0.17629784257459863,0.6303702011382933,2.220446049250313e-16,0.04227810169944876,0.1737698166004255,0.26191519900132426,0.12104979916276071,0.18709193555075337,0.09274847465336661,0.15989383688813005,0.19256040737368904,0.07228059700999291,0.11940557272211048,0.3250384265881393,0.16135267883562504,0.33280485010549016,0.12503054133772498,0.20201390561986815,0.20278578714124812,0.07384668066594774,2.220446049250313e-16,0.30103718432534854,0.24392977371537417,0.37391535856639196,0.5043075783805264,0.2372926187375987,0.034159661334542006,0.20166486611480625,0.12903360662619365,0.4956153984494527,2.220446049250313e-16,0.30411001219753636,0.6660514685400399,0.332661822530282,0.3754804455744151,0.24533479542793074,0.2146397310520096,0.8970658132471285,0.4858661968308457,5.6026695460613924e-14,0.5739795302598522,0.6251024115368033
