,Component_0,Component_1,Component_2,Component_3
f1,0.7859311175024664,0.5664566464254697,0.45226243181333375,0.3758230556357813
f2,1.0682879401068257,0.8746577188437334,0.01083019870930342,0.4231319514029911
f1_bw,0.21344385072460895,0.10670929752061718,0.7751456296809079,0.2551702945486998
f2_bw,0.44925216209855556,0.23359805359769348,0.5944778237732655,0.234304587242901
f1_d_dx_median,0.4389143805075718,0.34338601237527244,0.3727376354528631,0.4533946395466822
f1_d_dx_prc_5,1.0558814075865346,1.0233057681031819,0.16424332094367536,2.220446049250313e-16
f1_d_dx_prc_95,0.0005713833581881286,0.08753994816137285,0.4100835515319391,0.776317260290671
f1_d_dx_prc_5_95,3.018044977361353e-05,0.10017769617644134,0.5498577471893897,0.851826602702183
f2_d_dx_median,0.5348290922803332,0.6467845213183687,0.3638240545694204,0.43185182013065265
f2_d_dx_prc_5,1.1393426133866362,1.1175339508521793,1.61154327962611e-15,2.220446049250313e-16
f2_d_dx_prc_95,2.220446049250313e-16,0.00019237778833943074,0.7291166919164019,0.7033981567646274
f2_d_dx_prc_5_95,2.220446049250313e-16,0.008581084452778182,0.7677242581947245,0.743666239216836
f0_mean,0.4167074622663364,0.19324304187727864,1.2493627044507292,0.09690681650398408
f0_std,0.649917318187274,1.227501222159278e-08,0.9180531074431612,3.996222023149732e-09
CPP_mean,4.347339340385797e-08,2.220446049250313e-16,0.8996132192901624,2.220446049250313e-16
CPP_F1_comp,0.8939602650979029,0.7729162455204429,2.220446049250313e-16,0.8269187099155056
CPP_F2_comp,0.5894904860463378,0.735420363787975,2.220446049250313e-16,0.6836444870322258
F1_F2_comp,0.7218969849644437,0.24296822682171884,0.5020416959788988,0.4722370407899709
intensity_CV,1.0340475431159903,0.12114559409249936,0.4163245385424109,0.5371591829286846
speech_rate,1.1990798389046686,2.220446049250313e-16,0.26691103276656886,0.6030514524378657
total_dur,2.220446049250313e-16,0.8512261758032745,0.5844204556831445,5.9853444135429014e-05
speech_dur,2.220446049250313e-16,0.8111511918950711,0.711237352317683,2.220446049250313e-16
percent_pause,0.0435590858516497,0.9815047795048819,0.22264920093482907,0.41335520615933075
num_pause,2.220446049250313e-16,0.4800308234581119,0.3842597891114504,0.024250682460346597
mean_pause_dur,0.17383556905061043,0.5447287690752125,2.2401243010036956e-16,0.1260199014018088
mean_phrase_dur,0.5750550409443124,0.1572795984537224,0.22244042391909827,0.14162668487385072
cv_pause_dur,0.28240226201089097,2.220446049250313e-16,0.13279748575874856,0.1644969486232658
cv_phrase_dur,0.47329610016576035,0.20678814543645624,0.5029515693121476,0.3634936410737326
total_pause_dur,2.220446049250313e-16,0.8712054768301933,0.3226119539120778,0.047325345274519426
fft_peaks1,0.17478428384924705,0.09320496145710512,0.10707580055590331,0.03651581873119669
fft_peaks2,0.4974777003895183,0.3882311438777878,0.2122718232064281,0.1284832287144779
fft_ampli1,0.17364305887945775,2.3027812973160305e-10,2.220446049250313e-16,0.537814740315376
fft_ampli2,0.12196005683197267,2.220446049250313e-16,2.220446049250313e-16,0.6761001954226972
nrj_below_boundary,0.08243819373961156,2.220446049250313e-16,2.220446049250313e-16,0.4933288196098362
nrj_above_boundary,0.16171129940419143,2.220446049250313e-16,2.220446049250313e-16,0.5166322788057508
nrj_3_6,0.13448338109585484,2.220446049250313e-16,2.220446049250313e-16,0.5128210225240758
ratio_below_above,0.044886963613330534,0.0269883287882937,0.003416715364442362,2.220446049250313e-16
