Cluster_ID,Feature_Name
0,f1_d_dx_median
0,intensity_CV
0,speech_rate
0,cv_pause_dur
0,fft_ampli1
0,fft_ampli2
0,nrj_below_boundary
0,nrj_above_boundary
0,nrj_3_6
0,F1width
1,f1
1,f2
1,f1_d_dx_prc_5
1,f2_d_dx_median
1,f2_d_dx_prc_5
1,total_dur
1,speech_dur
1,num_pause
1,mean_phrase_dur
1,fft_peaks1
1,fft_peaks2
1,ratio_below_above
1,P1amp
2,f2_bw
2,f1_d_dx_prc_95
2,f1_d_dx_prc_5_95
2,f2_d_dx_prc_95
2,f2_d_dx_prc_5_95
2,f0_mean
2,f0_std
2,CPP_mean
2,cv_phrase_dur
3,CPP_F1_comp
3,CPP_F2_comp
3,F1_F2_comp
3,percent_pause
3,mean_pause_dur
3,total_pause_dur
3,A1P1
3,A1P1comp
