,Sample_0,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73,Sample_74,Sample_75
Component_0,2.220446049250313e-16,0.6025618337200145,0.29241272955545144,0.5355920750545686,0.49630283115376683,0.2207826224175555,0.706860746935823,0.4824483565072943,0.5111962844056894,0.10630256802723004,0.40537601474756896,0.02550171522158764,0.019029794399681173,0.33745753418023544,0.4049086273424393,0.47598594431493957,0.5658169693580389,0.16351227886100364,0.32707090182832665,0.423577224630309,0.41800042080859545,0.3417909723364238,0.2314014835634484,2.220446049250313e-16,0.26816494464914964,0.504316000352556,0.0663680146856064,0.5110233436300634,2.220446049250313e-16,0.4062645320066468,0.47947808302964595,3.991937108144217e-12,0.45597343185589045,0.0652189301702373,0.34409565591378616,0.7293193112913601,0.0004006893717876388,0.09765597484283839,0.3873842361163549,0.2822307577930079,3.364494820884427e-10,0.29481391135561397,0.27221754869459197,0.28629271752766955,0.23745313471214538,0.308699672812238,0.30526258561230524,0.3791969267740966,0.03695153303097114,0.4472606665105704,0.19478061653235065,0.3131836968620141,0.41206838367479937,0.10707357703936954,0.09038538462185931,0.2774459345559995,0.42937801065324305,0.24266194784957007,0.39679942644590216,0.47433322776925446,0.16778884448727602,0.29382608241562147,0.06886032055255127,0.4572118324785379,2.220446049250313e-16,0.20569794964249685,0.9182549709669985,0.7664908633983111,0.4502048262780763,0.07901122093266728,0.3629486712965505,0.8769182348403334,0.06677246798212398,0.34630297092162193,0.5933291590139385,0.46752458452451434
Component_1,0.19799572410794,0.04725325869069444,0.4715989865796672,2.220446049250313e-16,0.10526086553121912,0.2740296343314561,0.0884449667691274,2.220446049250313e-16,0.1350147653395807,0.16990774787714555,0.2728593257649326,0.2985637559456781,0.49746927422426535,0.09844294266342199,2.220446049250313e-16,0.04211293993535051,0.1946782434125922,0.5090302608412229,2.220446049250313e-16,0.1500415234682661,0.13978227769718968,0.10565657540572589,0.16181964667869186,0.37911463280399066,0.23592625740425574,0.24147098904108902,0.5879524126657426,0.19654862845224905,0.38051031555712267,2.220446049250313e-16,0.2634099633228644,0.6840503194017487,0.2784512375094466,0.3030816062395819,0.35140756537083345,3.6670323353326645e-15,0.6303829456756188,0.431497524264867,0.3278675074799836,0.18868301005810928,0.5457792858289126,2.3214180475655537e-15,0.3858202893210519,0.30001224979840974,0.24749799338155645,0.3779022130981041,0.2445750953727795,0.27348865418557405,0.4592683181538119,0.19658773487443262,0.4342774205075827,0.2572183931579616,0.20399477537646252,0.5287971898292352,0.6596155560316783,0.10412664188849771,0.28417419691094015,0.15118830586231957,2.220446049250313e-16,0.2113652963088424,0.43459697606016673,0.3640906313790001,0.3951022466324159,0.16651419857880007,0.569545329666186,0.16011976338427925,0.06485267098426221,0.09603588705065474,1.5097051088876854e-09,0.2685740136749745,0.2557130661492823,2.220446049250313e-16,2.220446049250313e-16,0.2438153546360866,2.220446049250313e-16,2.220446049250313e-16
Component_2,0.7941232748509424,0.06673856133011602,0.19301993866660777,0.5851804675162843,0.5499041211847429,0.1688770183755701,0.11820511746858961,0.2968865331420422,0.11235101657987394,0.4487470421523759,0.027866630502084825,0.31425274769235967,0.6235007162291403,0.3576359976152583,0.36862981812760715,0.23287448630161767,0.2938350400481287,0.12518363060023088,0.7541101319589726,0.13469045797540397,0.36298677701196075,0.21559311676162562,0.5410203366001382,0.5632448250431235,0.06866225340279697,0.0205525408196881,2.220446049250313e-16,0.08387621755690623,0.5049912749283813,0.3426157947944683,2.220446049250313e-16,2.220446049250313e-16,1.2422554796813185e-11,0.19331355408946463,2.220446049250313e-16,0.14640218816072642,3.5568913937495236e-15,2.220446049250313e-16,2.220446049250313e-16,0.3126056083725884,2.220446049250313e-16,0.43553556879888083,2.220446049250313e-16,0.15320009769883217,0.14430422445645544,2.220446049250313e-16,0.24275603044421307,0.07873158023914768,0.0649379359588596,0.19265540081459004,2.220446049250313e-16,0.15483947393993186,0.12410683525019493,0.03986101509238828,0.25618639972698676,0.3993007374715329,2.220446049250313e-16,0.5411514151023972,0.20542310020935856,0.17812224583022876,0.3731591995696106,2.5125385883963452e-12,0.1007843440646297,0.02946239315399896,0.4544814829126921,0.17079156760979922,2.220446049250313e-16,0.0013396117984348956,0.48026448475330347,0.15833100338267123,0.05176808970736343,0.1870638530636662,0.5048576619441822,0.46416075437935567,0.3559421731958999,0.21276046051165848
Component_3,0.07717824029580857,0.32775608193275285,2.220446049250313e-16,0.039770923591491446,0.04747861314707986,0.3150553320606228,0.035934588003176435,0.2539148907603313,0.23277536199945087,0.23541182395439744,0.2937311176581971,0.39485161228242976,2.220446049250313e-16,0.23321578484574643,0.22491070614455153,0.301600117473327,2.220446049250313e-16,0.33590659990235844,2.220446049250313e-16,0.25410905274416773,0.23059275267533483,0.3922241562406213,0.09864922566049747,0.143252344156278,0.5031756582670368,0.238435518121947,0.31403488191739265,0.2536947875044535,0.24926860061973777,0.2966833535473569,0.1681946299369441,0.33548383423693284,0.37274047745658684,0.5232195172438784,0.23402021679263743,0.15000494854580432,0.32815446581430036,0.5213722307654326,0.33161771623518227,0.3247439083309822,0.5994132174366222,0.3373614257871739,0.28592558543842495,0.33477237841883845,0.5211591055493788,0.29223912623909,0.3900762893804826,0.24752305916348447,0.42808212664971823,0.22161451780123329,0.1321163897987425,0.2744582707942381,0.2696017559775128,0.24986688956414516,2.220446049250313e-16,0.287802535609029,0.39181056200026937,0.20792737476222847,0.46949959519944645,0.11334885187531653,0.060779541021371813,0.3342415689087714,0.45856506356315924,0.3218490157205306,2.220446049250313e-16,0.5711219659659875,2.220446049250313e-16,0.15676687815981888,0.19501947641936454,0.47154541884002,0.297643782336745,1.6240322860214122e-06,0.6496886884244351,2.220446049250313e-16,0.13216088472381465,0.2764625800103476
