Participant_Index,JS_Divergence,Cosine_Similarity,Bhattacharyya_Coefficient
0,0.49180085426583486,0.28404138700441095,0.5812780147705441
1,0.744498712322477,0.09937674209391864,0.35628496157854506
2,0.31515016475675234,0.6676208680879636,0.6982417676900932
3,0.12565187251911794,0.9378563770570401,0.8763300745741476
4,0.3621222349742796,0.5713430830115664,0.6734693265386299
5,0.10082127769483801,0.8151170402652488,0.9284707697586112
6,0.19817452400853988,0.6565953719845629,0.0025562011299243865
7,0.14999762995702126,0.8322157343958757,0.0025556537942702548
8,0.15460908726063974,0.6190412897277561,0.8897840664804557
9,0.08893920142748163,0.7870720477924942,0.9373547779918237
10,0.08870047258376337,0.8757853602314729,0.0027836876138379587
11,0.429465226735348,0.5075741193219435,0.6309957465210825
12,0.06208295287539024,0.9621609290877706,0.9529655448299971
13,0.15271396140600918,0.6603913167442064,0.8899904946069284
14,0.999999999999875,3.1096705658654394e-15,8.413085152784912e-08
15,0.08389955408786906,0.8611129255083911,0.002798642875604779
16,0.16767691094954942,0.7907983588460937,0.002518568476427723
17,0.052513971563420116,0.8805571373515124,0.002870739043349814
18,0.1901458192177309,0.8179674104751286,0.82395211622588
19,0.1082656930606213,0.9129028536945163,0.9009416541259831
20,0.02866631500251022,0.934867778615993,0.002920584677507934
21,0.34285626542329645,0.6939963105506314,0.6801841227182839
22,0.19153824157151256,0.5911603376267591,0.8625043139893679
23,0.7353056376624297,0.19216499913404136,0.30781970575225726
24,0.06750277246421378,0.8664752926812371,0.0028371545708898173
25,0.1141755502278939,0.8260129114372327,0.002725183817874849
26,0.15145849800600203,0.7615270572604866,0.8896967342780469
27,0.5424297769287916,0.2917363950499911,0.5390406449243648
28,0.2777529069500533,0.6198492883809459,0.757684308315458
29,0.46482207397087677,0.5629090163525973,0.5724380166825312
30,0.668757241869333,0.27432018573775324,0.3708557863513918
31,0.5569673404524079,0.40079483866535154,0.4531026506744959
32,0.5513190363915784,0.4272828644049303,0.4949278796204078
33,0.12712227351814426,0.7451910022300816,0.907300060744858
34,0.12469615499268077,0.859919744791492,0.8892911119401608
35,0.22876786715980915,0.675849483379495,0.002389297764095444
36,0.5772623754278421,0.3873554495239423,0.4358456761448127
37,0.2527560026953936,0.76638531833629,0.7612939951156763
38,0.479630609796394,0.5408161385768603,0.5596325619520942
39,0.25703333440954174,0.6636465953098616,0.7753670112117627
40,0.32364263843340624,0.6880486758510955,0.7006504653594808
41,0.14205246015650674,0.8543938160865402,0.0025723178794597183
42,0.6437458287977844,0.2897531782618511,0.3576595534874389
43,0.36104192459532514,0.6323401225220469,0.6645586956194385
44,0.4542831121015103,0.44225361649024364,0.5817486035897809
45,0.5615723650112053,0.4620414496966401,0.4519781504202516
46,0.007087232894377626,0.9800040771160952,0.0029655606448828896
47,0.5156464846018839,0.5113476963726064,0.5285567427129748
48,0.22285591167985108,0.6413557147707731,0.8351383609415943
49,0.4867498274001485,0.39260462275725827,0.5615887162931926
50,0.14051051192911365,0.7269970340031178,0.8999927217625668
51,0.3712992939059119,0.6107366982644861,0.6541557164785954
52,0.03181313076310032,0.9225575713046748,0.0029140160841735533
53,0.12629804754700777,0.8686459983625903,0.8877777996923683
54,0.8221900962366813,0.08399107211671854,0.20539007297407166
55,0.4200965567910387,0.6949986162457854,0.6112615772470373
56,0.14249501669468842,0.85419410173712,0.002571426820626709
57,0.31981138355541794,0.64910146300837,0.7140892383692501
58,0.5423572284397502,0.36798777424145673,0.49196603920837373
59,0.050498973507659375,0.8715800808213758,0.0028749170448842272
60,0.03451513777515715,0.9261010880148864,0.975892030343873
61,0.5215110086668803,0.5425843204194468,0.4996813377322992
62,0.16641100652656315,0.7781215190226471,0.8653217963466601
63,0.10482881094029226,0.8345862383283976,0.0027513238683600783
64,0.25769215309961874,0.6960753823782418,0.7559180241690209
65,0.18169118542611615,0.5858954984081581,0.869614512698835
66,0.9999999999999107,2.059292751964124e-15,6.55016245861644e-08
67,0.24920491176192636,0.6474197832557848,0.002386398840270618
68,0.1594818707791844,0.8196524991598305,0.0025361627580855715
69,0.44010815438797435,0.390076209476105,0.6407777018068568
70,0.4506598415326922,0.3303572708772764,0.6127963516770322
71,0.37135599098780253,0.5933115092153589,0.0019794371965758542
72,0.4930855068120276,0.339549920945304,0.5667585782200373
73,0.04039207457695395,0.9677530529898588,0.9624100873464982
74,0.18633891839284578,0.7676099022683244,0.0024795438602975015
75,0.06176169906928392,0.909471662159763,0.9565486591659589
