Cluster_ID,Rank,Feature_Name,Importance_Score
0,1,speech_rate,1.1828343594028583
0,2,f2,1.0844188533000396
0,3,intensity_CV,1.0350528247729949
0,4,CPP_F1_comp,0.9750127305292099
0,5,f1,0.8034581748135317
0,6,f2_d_dx_prc_5,0.690263957523916
0,7,CPP_F2_comp,0.6857774460871853
0,8,fft_ampli2,0.638308104711848
0,9,f2_d_dx_median,0.6060356299683121
0,10,F1_F2_comp,0.5983457393065498
1,1,f2_d_dx_prc_5,1.2656396657182596
1,2,f2,1.2205709587096125
1,3,P1amp,1.1734403344869984
1,4,f1_d_dx_prc_5,1.0522110852396374
1,5,speech_dur,0.9695937711769784
1,6,f1,0.9694627949207817
1,7,total_dur,0.7928769437817964
1,8,f2_d_dx_median,0.6606251577794622
1,9,f0_mean,0.5916686287087856
1,10,intensity_CV,0.5613611960636565
2,1,f0_mean,1.169781710451937
2,2,f2_d_dx_prc_5_95,0.9300508219106819
2,3,f2_d_dx_prc_95,0.8832966619653255
2,4,f0_std,0.8657461521853232
2,5,f1_d_dx_prc_5_95,0.7121428617352838
2,6,CPP_mean,0.651882787998861
2,7,f2_bw,0.6005881113876312
2,8,cv_phrase_dur,0.5559339047694651
2,9,f1_d_dx_prc_95,0.5526839939258782
2,10,A1P1comp,0.5515148250077515
3,1,CPP_F1_comp,1.1936216609790813
3,2,A1P1comp,1.143387047404216
3,3,percent_pause,1.143207591737939
3,4,A1P1,1.1319948933767132
3,5,CPP_F2_comp,1.0667768576300278
3,6,f1_d_dx_prc_5,0.6420119503926618
3,7,F1_F2_comp,0.6218486863949974
3,8,mean_pause_dur,0.6209581952441638
3,9,total_pause_dur,0.5556437358090212
3,10,f2_bw,0.41691894840053073
