Acoustic_Cluster,Perceptual_Cluster,JS_Divergence,Similarity
0,0,0.00042994501504495025,0.9995700549849551
1,1,0.00029105804067421,0.9997089419593258
2,2,0.0012282578085194996,0.9987717421914805
3,3,0.0015265696226416867,0.9984734303773584
