,Sample_0,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73,Sample_74,Sample_75
Component_0,2.041061748513919e-16,0.12203078796541286,0.5334326846748524,0.2155334347255921,0.3451612470027768,0.042669165214383985,0.41254375516689884,0.18021579430109574,0.24460235709962921,0.12126796826756572,0.5432477860126665,2.1826741480760328e-16,0.3132962762548571,0.2595169827983957,0.02563899483390563,0.11043719467069074,0.5268849299950715,0.4461808196186512,0.09006871777618693,0.23923372589339642,0.5167014230518983,0.1284291666430124,0.2615268864544367,2.106952727463119e-16,0.35003708776605025,0.6461010255223275,0.16965208789609748,0.423486066560444,2.0248862300800432e-16,0.2520679478386763,0.534888419653157,0.09130853411172243,0.3564677747795208,1.1498227276068754e-05,0.43186886060653223,0.32056202778627824,0.2699043615017141,0.32174836679311297,0.508670331397751,0.30608717782516837,0.017959240838039552,0.39816166726769553,0.47247028911123923,0.3945869201447769,0.34609041091087034,0.5312370217198589,0.45617650487518274,0.3015631135361694,0.049450749654499145,0.38986869002126046,0.22701773177668133,0.38490342714131065,0.4859571944498755,0.15817194129755344,0.3629304757127936,0.23865928994257754,0.4868158538134042,0.0990374826019532,0.21780994669784715,0.5185738402237123,0.30521390711087143,0.31931913865200495,0.12330034777313716,0.2247755985084063,2.1548858985804281e-16,0.1550974922832414,0.3591501422274719,0.6787173461159536,0.3044305871345943,0.0002707506865164278,0.4649342694334252,0.27832026647857244,2.072540215913754e-16,0.505671142884079,0.2961356197928006,0.10513524305710777
Component_1,0.12426269328709479,0.2771143683529163,0.15029787973141623,1.704981715040286e-16,1.7842577432736813e-16,0.45543617055513713,0.06342493327406686,1.1506542936440713e-06,0.22895414916526696,0.20214713418097308,0.21036531359900895,0.41670711001375194,0.03332036577469305,0.12092871864853899,0.16900079881729607,0.23273059774113808,2.0329738408939227e-16,0.30940423139601336,1.9550605870391942e-16,0.2555520653857338,1.4865039010417129e-13,0.26604052206812223,0.0333588591896529,0.35645246672820585,0.31705856012829686,0.13683200816711197,0.6524102696250538,0.18808664557634586,0.4211433150381592,4.522646278010211e-16,0.21786899298977938,0.7581011407167478,0.27677053446925237,0.517268707983512,0.3495817452852273,0.1009116425679801,0.559196473064819,0.563382901326357,0.2713658415936992,0.15245178379982033,0.778350827553417,0.0014160825776766124,0.38120278394564455,0.2727090043613952,0.32177359691796087,0.3867466213690804,0.14615127554836538,0.2962860908745707,0.6237173439831618,0.11183161548584038,0.5344027962028167,0.22017635607728067,0.16410148478841402,0.5888519089093419,0.1942902040942685,0.10670430918274919,0.28478912769021625,0.18241086930344846,0.19112014650220954,0.042061200150381714,0.20810658760840386,0.41418545191339806,0.5587862421457529,0.29667581920104447,0.3734140785583792,0.3552548376571214,0.08837668931184835,2.1444925094459433e-16,0.00019808070623996338,0.557070902341246,0.24030767971890155,1.776711126565198e-16,0.22124803009620375,2.1525737786939188e-16,7.375813331359138e-16,0.1705826708915832
Component_2,0.7275547388685744,1.880469586818449e-16,0.3162694354899623,0.3870186331604574,0.4217969855176921,0.12868499898978528,0.03697827018268423,0.1491305762943306,0.04842600200436399,0.4948336190722902,0.05230691713949093,0.3629981711474249,0.6533833578808573,0.27649018202992914,0.19669193897957324,0.09704917663837875,0.29661708757852556,0.24441494889326093,0.5222747821929342,0.08191600728872228,0.353728827210324,0.15321057844348318,0.5423020587933354,0.603544997154901,0.08811037925412446,0.03488043383527492,0.1195493643037259,0.0659912755753618,0.5788566848706476,0.23678854472398975,2.3250556108855905e-08,0.13441192602338048,0.06295082940293056,0.18741250316321534,0.02085372098656852,0.017603181895520244,0.17089916532317925,0.0672189045249256,0.04580861619025478,0.2995411769169746,0.08973358403028636,0.4055879759069836,0.03858065977868309,0.17079034229371048,0.14777392330765562,2.5195267189054593e-16,0.29065620350205185,0.07377264742389356,0.15267510402295384,0.18347645777045668,0.06829457553160719,0.1869499658680605,0.13886001328975026,0.17116137229056613,0.4427793200980087,0.3734439300437543,2.079036144528143e-16,0.39923356316744796,0.08671779950831404,0.196453898699704,0.45369100084765573,0.057779814712432535,0.1762589152717358,2.1439836454463228e-16,0.6265859213445729,0.20679576886198733,1.841804908455648e-16,5.7196666729433016e-09,0.37039003650566954,0.1732531435696771,0.05712953141438684,0.0038839499340601468,0.32524974091145725,0.4943288570189233,0.19988839932045874,0.1303075364504206
Component_3,0.14818256775240943,0.6008548435969818,2.304130978006969e-16,0.3974479320371648,0.23304176739917506,0.3732096651395579,0.48705304128310345,0.6706524786530106,0.4780174916378632,0.18175127836463717,0.19407998314190278,0.22029471874052414,1.9893487832937948e-16,0.34306411642446144,0.6086682672749347,0.5597830308620633,0.17649798233484565,2.0444576282259498e-16,0.3876564999428305,0.4232982013325553,0.12956974964840481,0.4523197327532286,0.1628121954640817,0.04000253602368284,0.24479397274940706,0.1821865323701141,0.05838827806736141,0.3224360121931086,2.0248862300800432e-16,0.5111435073401291,0.24724256399329486,0.016178399047335163,0.30381086126154755,0.2953072905304385,0.1976956730095346,0.5609231476612382,2.4488746986655356e-16,0.047649827242898776,0.17415521071807333,0.24191986136567092,0.1139563474841169,0.1948342741435059,0.10774626704826258,0.16191373309885404,0.18436206876777075,0.08201635679759109,0.10701601598477621,0.3283781480643389,0.1741568022314497,0.3148232366278455,0.17028489635270005,0.20797025081039977,0.21108130736786934,0.08181477739174853,2.10784810795613e-16,0.28119247073751114,0.22839501840274776,0.31931808484175184,0.5043521071916204,0.2429110608238342,0.03298850433649739,0.20871559461866807,0.1416544946995931,0.47854858219399254,2.1548858985804281e-16,0.28285190110464015,0.5524731683777321,0.3212826480678001,0.3249812955669453,0.2694052032927493,0.23762851932257592,0.7177957835073513,0.4535022288989999,5.431413008035288e-14,0.5039759807989361,0.593974549505868
