,Sample_0,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73,Sample_74,Sample_75
Component_0,0.18095049008372932,0.2071720595989844,0.32252776333514643,0.23403738308392907,0.27619410592525495,0.20082976985163345,0.2907523325371725,0.2244622184276867,0.2451818866353884,0.22158032393848268,0.3240706232792519,0.1913570041377064,0.2565278230799304,0.25159293428528495,0.19160931968786538,0.20818616133464474,0.3308968472824456,0.3047738605610623,0.20248549956303372,0.24549503858412783,0.32879148070691694,0.21694496784819922,0.24828024835787063,0.1844863233866032,0.27441888885172466,0.3547675750306164,0.22616086737306124,0.297220567447075,0.18269757089412578,0.2462202549761394,0.316970717282967,0.20369137492356063,0.28040492913571974,0.18878618065919264,0.2912124646725454,0.26296269506183817,0.2501885990422395,0.2617063686504776,0.3189278736986496,0.26506996827997864,0.18418329599129746,0.28465865362183684,0.29910393069991115,0.28710615231818887,0.27529950235554673,0.3144995047244807,0.3109184822603447,0.261792031224884,0.203035526332466,0.28793123307529517,0.243760515600212,0.2841473622164297,0.31071440548421514,0.2262285749952691,0.2772181142918659,0.2456959270600749,0.31652577320981445,0.20755277375063197,0.239086122519292,0.32032996473078157,0.2614454556598971,0.26515798672723423,0.21962717510970445,0.23979535511415498,0.18599432566898003,0.22499696413821782,0.2752906760100522,0.37298036679469243,0.26268486353106246,0.19574314969538006,0.3009666918581418,0.24109165612900388,0.18832547116050677,0.31491200860778507,0.2579335249255958,0.20960489621978365
Component_1,0.20714257385255264,0.24880546341250903,0.2229549397771243,0.17675870496589102,0.17974925654426788,0.30204913748237716,0.19995025812700848,0.1865004206105867,0.2410855754500565,0.23779313674996047,0.23737830924373554,0.2923814191855197,0.18767977315993167,0.21862606288521713,0.2230735550424735,0.23932723613201307,0.18610939909142069,0.26270182479401366,0.18279647513823782,0.24955064677433303,0.1842547468567013,0.25188489086712834,0.1969401203694559,0.27042482339392965,0.2656985134369691,0.2185983901218889,0.35397792615920964,0.23183018134728628,0.2899326736014066,0.18997819070375904,0.2395562613537198,0.39465608224443943,0.25579168265449626,0.3243802803939281,0.27060831684911707,0.2054427093250607,0.3252266274217153,0.32428326365826654,0.25168684231574556,0.2244515886566129,0.41308574659302644,0.19447645001997463,0.2765046464977554,0.25454930350153804,0.26839545030728085,0.27689651610690164,0.21999680142538952,0.26042816398836377,0.34565013896466357,0.2146060641688063,0.3054791931338357,0.24213217579800364,0.22807338416669645,0.33371292207967196,0.23209710543750803,0.2133272150501025,0.25509516770526025,0.228837987929943,0.23278991361333723,0.20111170975193868,0.23643441588973282,0.2906115252021703,0.32656113437806045,0.25833322508132245,0.27327837863723964,0.2790210833312507,0.1986189289892462,0.18470679124530687,0.18483205346803155,0.32500980611341773,0.24569820138086343,0.1702633264015186,0.23870034642843568,0.1869194784562502,0.184091383453165,0.22455071445363034
Component_2,0.3993033236519968,0.17937103945429167,0.2616252760636821,0.2926012900396395,0.3038318380036795,0.21865772375691522,0.1943589304095591,0.2174022905704548,0.19849777493925602,0.3070304734008605,0.20476058731901067,0.27683475894551873,0.37496444515856814,0.2559580612876085,0.22972191976532055,0.20503322248830466,0.2573159025533498,0.24479864979556254,0.3308096772501661,0.20962389072231258,0.27390152375146765,0.22285808524573755,0.3301768629021667,0.35251265367115175,0.2123360079085365,0.1984025244760349,0.21588641729010397,0.20379828695186583,0.34467218451034193,0.24238022126666414,0.19762002636418957,0.2125891314972588,0.1999128906699831,0.2296892339988315,0.2018499705448993,0.1870815189559833,0.22870773951938203,0.2088022530417907,0.2009643528906869,0.2631980463154081,0.1987749982992921,0.286695867080307,0.205880715336722,0.23017671304032597,0.22379361010259988,0.1969216675658903,0.25848759200000865,0.20894616975290045,0.2234116875118126,0.23149100916580506,0.21694521116422713,0.23444217851353394,0.22260924254605377,0.22889657124002571,0.30154487885727727,0.28383456625974385,0.1881946949302708,0.29498057202764766,0.20971369830440903,0.23385053610800857,0.3048969963645926,0.20594758501076318,0.23048173223289486,0.1899942755564774,0.35473296992480036,0.23785723452697935,0.1785453715968896,0.1847067923391858,0.283486364953145,0.22913935675740563,0.20823076909180918,0.17109178840096032,0.2668355970652787,0.31124903437970425,0.23115435514338176,0.21523184284444427
Component_3,0.21260361231172129,0.3646514374342149,0.19289202072404718,0.29660262181054037,0.2402247994267978,0.27846336880907413,0.3149384788262599,0.3716350702912718,0.315234762875299,0.2335960658106964,0.23379048005800207,0.2394268176312552,0.1808279585015698,0.2738229414418894,0.35559520540434064,0.3474533799450375,0.2256778509727839,0.1877256647493615,0.28390834794856235,0.2953304238192266,0.21305224858491414,0.30831205593893474,0.2246027682705068,0.19257619944831542,0.24754658970276974,0.2282315102714596,0.20397478907762512,0.26715096415377293,0.18269757089412578,0.3214213329534374,0.24585299489912357,0.18906341123474132,0.2638904974398008,0.2571443048480479,0.2363292478334383,0.34451307655711794,0.1958770339166631,0.20520811454946505,0.22842093099491798,0.2472803966480004,0.20395595901638408,0.23416902917788168,0.2185107073656116,0.22816783103994734,0.2325114371345724,0.21168231150272743,0.21059712421425714,0.2688336349338518,0.22790264709105792,0.2659716934900935,0.23381508000172513,0.23927828337203277,0.2386029677030346,0.2111619315850332,0.1891399013133488,0.2571422915300788,0.24018436405465457,0.26862866619177733,0.31841026546296164,0.24470778930927123,0.19722313198577746,0.2382829029598323,0.22332995817934026,0.31187714414804524,0.18599432566898003,0.25812471790355224,0.3475450233038121,0.25760604952081484,0.26899671794776114,0.25010768733379657,0.24510433756918576,0.4175532289685172,0.3061385852457788,0.1869194784562606,0.3268207363778575,0.3506125463821418
